,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Years
105,103,Curtis Brinkley,SDG,26,RB,10,1,30,101,1,4,12,3.4,10.1,0,2011
96,94,Curtis Brinkley,SDG,27,RB,10,1,39,115,0,8,13,2.9,11.5,1,2012
175,171,Curtis Keaton,CIN,24,RB,6,0,6,24,0,1,8,4,4,0,2000
183,179,Curtis Keaton,CIN,25,RB,13,0,5,48,0,3,21,9.6,3.7,0,2001
141,138,Curtis Keaton,NOR,26,RB,6,0,12,19,0,0,4,1.6,3.2,1,2002
5,6,Curtis Martin,NYJ,27,RB,16,16,316,1204,9,64,55,3.8,75.3,2,2000
15,16,Curtis Martin,NYJ,29,RB,16,16,261,1094,7,55,35,4.2,68.4,0,2002
7,8,Curtis Martin,NYJ,30,RB,16,16,323,1308,2,57,56,4,81.8,2,2003
20,21,Curtis Martin,NYJ,32,RB,12,12,220,735,5,37,49,3.3,61.3,2,2005
3,4,Curtis Martin*,NYJ,28,RB,16,16,333,1513,10,78,47,4.5,94.6,2,2001
0,1,Curtis Martin*+,NYJ,31,RB,16,16,371,1697,12,93,25,4.6,106.1,2,2004
179,175,Cyrus Gray,KAN,23,RB,10,0,7,44,0,3,15,6.3,4.4,0,2012
161,157,Cyrus Gray,KAN,24,RB,16,0,9,24,0,1,9,2.7,1.5,0,2013
178,174,Cyrus Gray,KAN,25,RB,9,0,8,31,1,1,6,3.9,3.4,0,2014
43,43,D'Andre Swift,DET,21,RB,13,4,114,521,8,31,54,4.6,40.1,3,2020
30,30,D'Andre Swift,DET,22,RB,13,4,151,617,5,28,57,4.1,47.5,2,2021
48,48,D'Andre Swift,DET,23,RB,14,8,99,542,5,21,50,5.5,38.7,1,2022
217,211,D'Ernest Johnson,CLE,23,RB,16,0,4,21,0,0,13,5.3,1.3,0,2019
111,109,D'Ernest Johnson,CLE,24,RB,16,0,33,166,0,7,28,5,10.4,1,2020
53,53,D'Ernest Johnson,CLE,25,RB,17,2,100,534,3,24,30,5.3,31.4,1,2021
255,248,D'Ernest Johnson,CLE,26,RB,15,0,4,17,0,1,7,4.3,1.1,0,2022
58,58,D'Onta Foreman,HOU,21,RB,10,1,78,327,2,13,39,4.2,32.7,2,2017
185,180,D'Onta Foreman,HOU,22,RB,1,0,7,-1,0,0,2,-0.1,-1,1,2018
