,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Years
84,83,Jonathan Stewart,CAR,26,RB,6,1,48,180,0,7,16,3.8,30,1,2013
21,22,Jonathan Stewart,CAR,27,RB,13,8,175,809,3,42,69,4.6,62.2,2,2014
15,16,Jonathan Stewart,CAR,29,RB,13,13,218,824,9,49,47,3.8,63.4,3,2016
18,19,Jonathan Stewart,CAR,30,RB,15,10,198,680,6,42,60,3.4,45.3,3,2017
200,195,Jonathan Stewart,NYG,31,RB,3,0,6,17,0,0,5,2.8,5.7,0,2018
6,7,Jonathan Stewart*,CAR,28,RB,13,13,242,989,6,43,44,4.1,76.1,3,2015
7,8,Jonathan Taylor,IND,21,RB,15,13,232,1169,11,69,62,5,77.9,1,2020
23,24,Jonathan Taylor,IND,23,RB,11,11,192,861,4,39,66,4.5,78.3,3,2022
0,1,Jonathan Taylor*+,IND,22,RB,17,17,332,1811,18,107,83,5.5,106.5,4,2021
189,184,Jonathan Ward,ARI,24,RB,13,0,9,33,0,3,7,3.7,2.5,0,2021
28,29,Jonathan Wells,HOU,23,RB,16,11,197,529,3,23,37,2.7,33.1,3,2002
207,202,Jonathan Wells,HOU,24,RB,13,0,5,14,0,1,10,2.8,1.1,0,2003
53,53,Jonathan Wells,HOU,25,RB,16,1,82,299,3,17,14,3.6,18.7,1,2004
49,49,Jonathan Wells,HOU,26,RB,15,6,90,325,4,20,14,3.6,21.7,1,2005
118,116,Jonathan Williams,BUF,22,RB,11,0,27,94,1,6,20,3.5,8.5,2,2016
247,240,Jonathan Williams,NOR,24,RB,3,0,3,0,0,0,1,0,0,0,2018
82,81,Jonathan Williams,IND,25,RB,9,1,49,235,1,13,48,4.8,26.1,0,2019
379,368,Jonathan Williams,DET,26,RB,5,0,1,5,0,0,5,5,1,1,2020
150,147,Jonathan Williams,WAS,27,RB,5,0,17,79,1,7,23,4.6,15.8,0,2021
100,98,Jonathan Williams,WAS,28,RB,13,2,37,152,0,6,23,4.1,11.7,0,2022
4,5,Jordan Howard,CHI,23,RB,16,16,276,1122,9,65,53,4.1,70.1,1,2017
5,6,Jordan Howard,CHI,24,RB,16,15,250,935,9,53,42,3.7,58.4,2,2018
38,38,Jordan Howard,PHI,25,RB,10,4,119,525,6,28,20,4.4,52.5,0,2019
108,106,Jordan Howard,2TM,26,RB,7,4,35,60,4,7,11,1.7,8.6,1,2020
59,59,Jordan Howard,PHI,27,RB,7,0,86,406,3,24,25,4.7,58,0,2021
354,344,Jordan Howard,NOR,28,RB,2,0,1,1,0,0,1,1,0.5,0,2022
10,11,Jordan Howard*,CHI,22,RB,15,13,252,1313,6,73,69,5.2,87.5,2,2016
93,91,Jordan Mason,SFO,23,RB,16,0,43,258,1,10,55,6,16.1,0,2022
221,215,Jordan Scarlett,CAR,23,RB,9,0,4,9,0,0,6,2.3,1,0,2019
237,231,Jordan Todman,JAX,22,RB,1,0,3,8,0,0,6,2.7,8,0,2012
61,60,Jordan Todman,JAX,23,RB,16,2,76,256,2,17,33,3.4,16,0,2013
111,109,Jordan Todman,JAX,24,RB,16,1,32,186,1,5,62,5.8,11.6,0,2014
227,221,Jordan Todman,PIT,25,RB,11,0,4,22,0,1,11,5.5,2,0,2015
167,163,Jordan Todman,IND,26,RB,16,0,9,59,0,3,19,6.6,3.7,0,2016
72,71,Jordan Wilkins,IND,24,RB,16,3,60,336,1,15,53,5.6,21,2,2018
80,79,Jordan Wilkins,IND,25,RB,14,1,51,307,2,12,55,6,21.9,0,2019
63,62,Jordan Wilkins,IND,26,RB,15,0,84,308,1,17,22,3.7,20.5,0,2020
168,164,Jordan Wilkins,IND,28,RB,4,0,13,58,0,2,9,4.5,14.5,0,2022
238,232,Jorvorskie Lane,TAM,27,RB,9,4,3,58,0,1,54,19.3,6.4,0,2014
24,25,Joseph Addai,IND,23,RB,16,0,226,1081,7,67,41,4.8,67.6,2,2006
34,34,Joseph Addai,IND,25,RB,12,12,155,544,5,34,23,3.5,45.3,1,2008
17,18,Joseph Addai,IND,26,RB,15,15,219,828,10,44,21,3.8,55.2,1,2009
41,41,Joseph Addai,IND,27,RB,8,7,116,495,4,32,46,4.3,61.9,2,2010
42,42,Joseph Addai,IND,28,RB,12,11,118,433,1,16,16,3.7,36.1,1,2011
10,11,Joseph Addai*,IND,24,RB,15,15,261,1072,12,66,23,4.1,71.5,0,2007
76,75,Joseph Randle,DAL,22,RB,13,2,54,164,2,7,19,3,12.6,0,2013
82,81,Joseph Randle,DAL,23,RB,16,0,51,343,3,12,65,6.7,21.4,2,2014
58,58,Joseph Randle,DAL,24,RB,6,6,76,315,4,15,37,4.1,52.5,1,2015
40,40,Josh Adams,PHI,22,RB,14,5,120,511,3,23,29,4.3,36.5,1,2018
168,164,Josh Adams,NYJ,23,RB,3,0,8,12,0,1,10,1.5,4,0,2019
119,117,Josh Adams,NYJ,24,RB,8,0,29,157,2,10,25,5.4,19.6,0,2020
145,142,Josh Ferguson,IND,23,RB,16,0,15,20,0,0,11,1.3,1.3,1,2016
291,283,Josh Ferguson,IND,24,RB,10,0,1,5,0,0,5,5,0.5,0,2017
234,228,Josh Ferguson,WAS,26,RB,2,0,3,9,0,1,7,3,4.5,0,2019
171,167,Josh Harris,PIT,23,RB,5,0,9,16,0,2,4,1.8,3.2,0,2014
12,13,Josh Jacobs,OAK,21,RB,13,13,242,1150,7,53,51,4.8,88.5,1,2019
10,11,Josh Jacobs,LVR,23,RB,15,14,217,872,9,45,28,4,58.1,2,2021
2,3,Josh Jacobs*,LVR,22,RB,15,15,273,1065,12,61,28,3.9,71,2,2020
1,2,Josh Jacobs*+,LVR,24,RB,17,17,340,1653,12,93,86,4.9,97.2,3,2022
148,145,Josh Robinson,IND,23,RB,5,0,17,39,0,0,8,2.3,7.8,1,2015
105,103,Josh Scobey,ARI,25,RB,12,0,27,89,0,7,10,3.3,7.4,1,2004
228,222,Josh Vaughan,CAR,24,RB,3,0,3,7,1,1,6,2.3,2.3,0,2010
182,178,Josh Vaughan,CAR,25,RB,7,0,7,24,0,0,9,3.4,3.4,0,2011
310,301,Josh Vaughan,ATL,27,RB,6,0,1,1,0,0,1,1,0.2,0,2013
45,45,Joshua Kelley,LAC,23,RB,14,0,111,354,2,20,33,3.2,25.3,2,2020
124,121,Joshua Kelley,LAC,24,RB,10,0,33,102,0,5,14,3.1,10.2,1,2021
69,68,Joshua Kelley,LAC,25,RB,13,1,69,287,2,16,22,4.2,22.1,0,2022
188,183,Julius Chestnut,TEN,22,RB,6,0,9,12,0,1,5,1.3,2,0,2022
25,26,Julius Jones,DAL,23,RB,8,7,197,819,7,44,53,4.2,102.4,3,2004
14,15,Julius Jones,DAL,24,RB,13,12,257,993,5,48,51,3.9,76.4,4,2005
13,14,Julius Jones,DAL,25,RB,16,16,267,1084,4,48,77,4.1,67.8,1,2006
31,31,Julius Jones,DAL,26,RB,16,16,164,588,2,24,25,3.6,36.8,0,2007
32,32,Julius Jones,SEA,27,RB,15,10,158,698,2,30,33,4.4,46.5,4,2008
27,28,Julius Jones,SEA,28,RB,14,14,177,663,2,33,62,3.7,47.4,0,2009
67,66,Julius Jones,2TM,29,RB,12,2,60,223,0,0,54,3.7,18.6,1,2010
72,71,Justice Hill,BAL,22,RB,16,0,58,225,2,10,18,3.9,14.1,0,2019
160,156,Justice Hill,BAL,23,RB,12,0,12,60,0,2,19,5,5,0,2020
85,84,Justice Hill,BAL,25,RB,15,0,49,262,0,15,34,5.3,17.5,2,2022
285,277,Justin Davis,LAR,22,RB,4,0,1,1,0,0,1,1,0.3,0,2017
256,249,Justin Davis,LAR,23,RB,11,0,2,19,0,1,19,9.5,1.7,0,2018
31,31,Justin Fargas,OAK,26,RB,16,6,178,659,1,29,48,3.7,41.2,1,2006
17,18,Justin Fargas,OAK,27,RB,14,7,222,1009,4,52,48,4.5,72.1,3,2007
19,20,Justin Fargas,OAK,28,RB,14,14,218,853,1,33,42,3.9,60.9,3,2008
45,45,Justin Forsett,SEA,24,RB,16,2,114,619,4,29,35,5.4,38.7,4,2009
40,40,Justin Forsett,SEA,25,RB,16,5,118,523,2,24,32,4.4,32.7,0,2010
85,84,Justin Forsett,SEA,26,RB,16,0,46,145,1,6,22,3.2,9.1,0,2011
66,65,Justin Forsett,HOU,27,RB,16,0,63,374,1,14,81,5.9,23.4,0,2012
178,174,Justin Forsett,JAX,28,RB,9,0,6,31,0,1,10,5.2,3.4,1,2013
30,30,Justin Forsett,BAL,30,RB,10,10,151,641,2,41,33,4.2,64.1,0,2015
54,54,Justin Forsett,3TM,31,RB,9,6,87,291,1,0,64,3.3,32.3,2,2016
9,10,Justin Forsett*,BAL,29,RB,16,14,235,1266,8,57,52,5.4,79.1,1,2014
82,81,Justin Jackson,LAC,22,RB,13,1,50,206,2,13,20,4.1,15.8,0,2018
109,107,Justin Jackson,LAC,23,RB,7,0,29,200,0,9,40,6.9,28.6,0,2019
82,81,Justin Jackson,LAC,24,RB,9,4,59,270,0,15,36,4.6,30,0,2020
70,69,Justin Jackson,LAC,25,RB,14,2,68,364,2,18,75,5.4,26,1,2021
94,92,Justin Jackson,DET,26,RB,16,0,42,170,1,8,27,4,10.6,0,2022
65,64,Justin Watson,STL,25,RB,14,2,54,249,4,13,49,4.6,17.8,0,2000
311,302,Justin Watson,STL,26,RB,11,0,1,0,0,0,0,0,0,0,2001
80,79,Juwan Thompson,DEN,22,RB,15,0,54,272,3,19,47,5,18.1,1,2014
140,137,Juwan Thompson,DEN,23,RB,15,1,18,48,0,2,12,2.7,3.2,0,2015
178,174,Juwan Thompson,DEN,24,RB,8,1,8,26,1,2,14,3.3,3.3,0,2016
104,102,Ka'Deem Carey,CHI,22,RB,14,0,36,158,0,11,15,4.4,11.3,0,2014
96,94,Ka'Deem Carey,CHI,23,RB,11,1,43,159,2,13,11,3.7,14.5,1,2015
105,103,Ka'Deem Carey,CHI,24,RB,12,0,32,126,0,4,24,3.9,10.5,0,2016
62,61,KaRon Coleman,DEN,22,RB,9,0,54,183,1,10,24,3.4,20.3,2,2000
197,192,KaRon Coleman,DEN,23,RB,4,0,4,17,0,0,8,4.3,4.3,0,2001
85,84,Kahlil Bell,CHI,23,RB,7,0,40,220,0,9,72,5.5,31.4,0,2009
63,62,Kahlil Bell,CHI,25,RB,13,3,79,337,0,15,26,4.3,25.9,3,2011
113,111,Kahlil Bell,2TM,26,RB,7,0,29,76,0,0,18,2.6,10.9,1,2012
104,102,Kalen Ballage,MIA,23,RB,12,0,36,191,1,10,75,5.3,15.9,1,2018
56,56,Kalen Ballage,MIA,24,RB,12,6,74,135,3,10,8,1.8,11.3,0,2019
57,57,Kalen Ballage,2TM,25,RB,11,2,91,303,3,25,17,3.3,27.5,1,2020
164,160,Kalen Ballage,PIT,26,RB,17,0,12,36,0,2,13,3,2.1,0,2021
113,111,Kapri Bibbs,DEN,23,RB,12,0,29,129,0,7,24,4.4,10.8,0,2016
128,125,Kapri Bibbs,WAS,24,RB,3,0,21,79,0,4,16,3.8,26.3,0,2017
129,126,Kapri Bibbs,2TM,25,RB,12,0,21,103,3,8,15,4.9,8.6,1,2018
204,199,Kareem Huggins,TAM,24,RB,3,0,4,11,0,0,7,2.8,3.7,0,2010
18,19,Kareem Hunt,KAN,23,RB,11,11,181,824,7,46,45,4.6,74.9,0,2018
87,86,Kareem Hunt,CLE,24,RB,8,3,43,179,2,8,16,4.2,22.4,1,2019
10,11,Kareem Hunt,CLE,25,RB,16,5,198,841,6,44,33,4.2,52.6,2,2020
63,62,Kareem Hunt,CLE,26,RB,8,1,78,386,5,22,33,4.9,48.3,0,2021
41,41,Kareem Hunt,CLE,27,RB,17,0,123,468,3,30,24,3.8,27.5,1,2022
5,6,Kareem Hunt*,KAN,22,RB,16,16,272,1327,8,63,69,4.9,82.9,1,2017
265,258,Karim Abdul-Jabbar,IND,26,RB,1,0,1,-2,0,0,-2,-2,-2,0,2000
51,51,Karlos Williams,BUF,22,RB,11,3,93,517,7,25,41,5.6,47,2,2015
220,214,Kay-Jay Harris,STL,27,RB,7,0,3,9,0,0,9,3,1.3,0,2006
128,125,Ke'Shawn Vaughn,TAM,23,RB,10,0,26,109,0,5,19,4.2,10.9,1,2020
117,115,Ke'Shawn Vaughn,TAM,24,RB,12,1,36,180,2,9,55,5,15,0,2021
152,149,Ke'Shawn Vaughn,TAM,25,RB,15,0,17,53,0,3,12,3.1,3.5,0,2022
118,116,Keaontay Ingram,ARI,23,RB,12,0,27,60,1,4,13,2.2,5,0,2022
64,63,Keiland Williams,WAS,24,RB,15,3,65,261,3,14,32,4,17.4,1,2010
75,74,Keiland Williams,DET,25,RB,15,0,58,195,2,12,18,3.4,13,2,2011
265,258,Keiland Williams,2TM,26,RB,14,0,2,3,0,0,2,1.5,0.2,0,2012
130,127,Keith Ford,BUF,24,RB,2,1,21,79,0,4,11,3.8,39.5,0,2018
134,131,Keith Toston,STL,23,RB,16,0,19,54,0,2,10,2.8,3.4,0,2010
144,141,Keith Toston,JAX,25,RB,5,1,17,74,0,2,14,4.4,14.8,0,2012
269,262,Ken Simonton,BUF,24,RB,2,0,2,4,0,0,2,2,2,0,2003
151,148,Kendall Gaskins,SFO,25,RB,9,0,16,38,0,3,14,2.4,4.2,0,2015
46,46,Kendall Hunter,SFO,23,RB,16,1,112,473,2,23,44,4.2,29.6,0,2011
59,59,Kendall Hunter,SFO,24,RB,11,0,72,371,2,18,26,5.2,33.7,1,2012
55,55,Kendall Hunter,SFO,25,RB,16,0,78,358,3,19,45,4.6,22.4,1,2013
279,271,Kendall Hunter,NOR,27,RB,2,0,1,2,0,0,2,2,1,0,2015
162,158,Kene Nwangwu,MIN,23,RB,11,0,13,61,0,3,19,4.7,5.5,0,2021
193,188,Kene Nwangwu,MIN,24,RB,17,0,9,14,0,1,8,1.6,0.8,0,2022
177,173,Kenjon Barner,CAR,24,RB,8,0,6,7,0,0,2,1.2,0.9,1,2013
118,116,Kenjon Barner,PHI,26,RB,10,0,28,124,0,6,19,4.4,12.4,1,2015
117,115,Kenjon Barner,PHI,27,RB,13,0,27,129,2,9,19,4.8,9.9,0,2016
137,134,Kenjon Barner,PHI,28,RB,13,1,16,57,1,3,18,3.6,4.4,3,2017
133,130,Kenjon Barner,2TM,29,RB,9,0,19,71,0,3,11,3.7,7.9,1,2018
204,199,Kenjon Barner,ATL,30,RB,14,0,4,28,0,1,12,7,2,4,2019
232,226,Kenjon Barner,TAM,32,RB,3,0,4,0,0,0,1,0,0,0,2021
253,246,Kenneth Darby,TAM,25,RB,1,0,2,9,0,1,7,4.5,9,0,2007
92,90,Kenneth Darby,STL,26,RB,10,0,32,140,0,9,14,4.4,14,1,2008
105,103,Kenneth Darby,STL,27,RB,16,1,27,152,0,5,51,5.6,9.5,0,2009
95,93,Kenneth Darby,STL,28,RB,14,0,34,107,2,7,13,3.1,7.6,0,2010
51,51,Kenneth Dixon,BAL,22,RB,12,0,88,382,2,30,20,4.3,31.8,1,2016
69,68,Kenneth Dixon,BAL,24,RB,6,0,60,333,2,20,37,5.6,55.5,2,2018
73,72,Kenneth Farrow,SDG,23,RB,13,2,60,192,0,11,11,3.2,14.8,2,2016
69,68,Kenneth Gainwell,PHI,22,RB,16,1,68,291,5,19,18,4.3,18.2,2,2021
83,82,Kenneth Gainwell,PHI,23,RB,17,0,53,240,4,17,13,4.5,14.1,0,2022
10,11,Kenneth Walker III,SEA,22,RB,15,11,228,1050,9,51,74,4.6,70,0,2022
167,163,Kenny Bynum,SDG,26,RB,14,0,7,26,0,1,9,3.7,1.9,0,2000
40,40,Kenny Watson,WAS,24,RB,16,4,116,534,1,32,24,4.6,33.4,0,2002
108,106,Kenny Watson,CIN,26,RB,16,0,26,161,0,8,25,6.2,10.1,2,2004
103,101,Kenny Watson,CIN,28,RB,16,0,25,138,1,5,18,5.5,8.6,0,2006
142,139,Kenny Watson,CIN,30,RB,10,0,13,55,0,2,7,4.2,5.5,0,2008
43,43,Kenton Keith,IND,27,RB,16,1,121,533,3,42,22,4.4,33.3,1,2007
102,100,Kenyan Drake,MIA,22,RB,16,1,33,179,2,9,45,5.4,11.2,1,2016
37,37,Kenyan Drake,MIA,23,RB,16,6,133,644,3,26,66,4.8,40.3,2,2017
41,41,Kenyan Drake,MIA,24,RB,16,7,120,535,4,23,54,4.5,33.4,2,2018
25,26,Kenyan Drake,2TM,25,RB,14,10,170,817,8,48,80,4.8,58.4,2,2019
6,7,Kenyan Drake,ARI,26,RB,15,13,239,955,10,59,69,4,63.7,3,2020
74,73,Kenyan Drake,LVR,27,RB,12,2,63,254,2,15,21,4,21.2,1,2021
46,46,Kenyan Drake,BAL,28,RB,12,5,109,482,4,21,40,4.4,40.2,1,2022
117,115,Kerrith Whyte Jr,PIT,23,RB,6,0,24,122,0,5,21,5.1,20.3,0,2019
225,219,Kerry Carter,SEA,23,RB,16,0,3,-2,0,0,1,-0.7,-0.1,0,2003
206,201,Kerry Carter,SEA,24,RB,16,0,4,15,0,2,6,3.8,0.9,0,2004
42,42,Kerryon Johnson,DET,21,RB,10,7,118,641,3,32,71,5.4,64.1,1,2018
40,40,Kerryon Johnson,DET,22,RB,8,7,113,403,3,22,20,3.6,50.4,1,2019
90,89,Kerryon Johnson,DET,23,RB,16,2,52,181,2,9,14,3.5,11.3,1,2020
81,80,Kerwynn Williams,ARI,23,RB,5,0,53,246,0,11,19,4.6,49.2,1,2014
120,118,Kerwynn Williams,ARI,24,RB,6,0,27,142,1,6,35,5.3,23.7,1,2015
140,137,Kerwynn Williams,ARI,25,RB,10,0,18,157,2,8,49,8.7,15.7,0,2016
39,39,Kerwynn Williams,ARI,26,RB,16,6,120,426,1,21,25,3.6,26.6,0,2017
40,40,Kevan Barlow,SFO,22,RB,15,0,125,512,4,28,25,4.1,34.1,1,2001
36,36,Kevan Barlow,SFO,23,RB,14,0,145,675,4,35,35,4.7,48.2,2,2002
22,23,Kevan Barlow,SFO,24,RB,16,4,201,1024,6,44,78,5.1,64,5,2003
17,18,Kevan Barlow,SFO,25,RB,15,14,244,822,7,45,60,3.4,54.8,2,2004
27,28,Kevan Barlow,SFO,26,RB,12,12,176,581,3,20,29,3.3,48.4,2,2005
41,41,Kevan Barlow,NYJ,27,RB,12,3,131,370,6,21,12,2.8,30.8,1,2006
27,28,Kevin Faulk,NWE,24,RB,16,9,164,570,4,32,18,3.5,35.6,6,2000
82,81,Kevin Faulk,NWE,25,RB,15,1,41,169,1,10,24,4.1,11.3,2,2001
63,62,Kevin Faulk,NWE,26,RB,15,0,52,271,2,8,45,5.2,18.1,1,2002
26,27,Kevin Faulk,NWE,27,RB,15,8,178,638,0,30,23,3.6,42.5,4,2003
74,73,Kevin Faulk,NWE,28,RB,11,1,54,255,2,14,20,4.7,23.2,2,2004
73,72,Kevin Faulk,NWE,29,RB,8,2,51,145,0,6,13,2.8,18.1,3,2005
99,97,Kevin Faulk,NWE,30,RB,15,1,25,123,1,6,11,4.9,8.2,2,2006
65,64,Kevin Faulk,NWE,31,RB,16,8,62,265,0,15,14,4.3,16.6,1,2007
53,53,Kevin Faulk,NWE,32,RB,15,3,83,507,3,24,41,6.1,33.8,0,2008
71,70,Kevin Faulk,NWE,33,RB,15,7,62,335,2,18,29,5.4,22.3,1,2009
170,166,Kevin Faulk,NWE,34,RB,2,2,8,45,0,1,11,5.6,22.5,0,2010
134,131,Kevin Faulk,NWE,35,RB,7,3,17,57,0,1,9,3.4,8.1,0,2011
145,142,Kevin Harris,NWE,22,RB,5,1,18,52,1,3,14,2.9,10.4,0,2022
18,19,Kevin Jones,DET,22,RB,15,14,241,1133,5,59,74,4.7,75.5,2,2004
25,26,Kevin Jones,DET,23,RB,13,13,186,664,5,29,40,3.6,51.1,2,2005
30,30,Kevin Jones,DET,24,RB,12,12,181,689,6,31,52,3.8,57.4,5,2006
35,35,Kevin Jones,DET,25,RB,13,10,153,581,8,35,34,3.8,44.7,2,2007
89,88,Kevin Jones,CHI,26,RB,11,0,34,109,0,7,16,3.2,9.9,0,2008
123,120,Kevin McDougal,IND,24,RB,9,0,17,48,0,4,12,2.8,5.3,0,2001
15,16,Kevin Smith,DET,22,RB,16,12,238,976,8,51,50,4.1,61,2,2008
18,19,Kevin Smith,DET,23,RB,13,13,217,747,4,41,31,3.4,57.5,3,2009
97,95,Kevin Smith,DET,24,RB,6,0,34,133,0,4,15,3.9,22.2,0,2010
69,68,Kevin Smith,DET,25,RB,7,4,72,356,4,16,43,4.9,50.9,1,2011
98,96,Kevin Smith,DET,26,RB,12,2,37,134,1,5,19,3.6,11.2,0,2012
197,192,Keylon Kincade,DAL,24,RB,1,0,4,9,0,0,7,2.3,9,0,2006
51,51,Khalil Herbert,CHI,23,RB,17,2,103,433,2,24,29,4.2,25.5,1,2021
38,38,Khalil Herbert,CHI,24,RB,13,1,129,731,4,26,63,5.7,56.2,0,2022
248,241,Khari Blasingame,TEN,25,RB,11,3,3,6,0,1,3,2,0.5,1,2021
77,76,Khiry Robinson,NOR,24,RB,10,0,54,224,1,12,25,4.1,22.4,0,2013
62,61,Khiry Robinson,NOR,25,RB,10,3,76,362,3,23,62,4.8,36.2,2,2014
75,74,Khiry Robinson,NOR,26,RB,8,0,56,180,4,15,14,3.2,22.5,0,2015
177,173,Khiry Robinson,NYJ,27,RB,1,0,8,22,0,1,10,2.8,22,1,2016
61,60,Ki-Jana Carter,WAS,28,RB,14,0,63,308,3,18,30,4.9,22,1,2001
130,127,Ki-Jana Carter,NOR,30,RB,8,0,19,72,1,4,31,3.8,9,0,2003
154,150,Ki-Jana Carter,NOR,31,RB,2,0,10,17,0,2,8,1.7,8.5,0,2004
50,50,Kimble Anders,KAN,34,RB,15,7,76,331,2,1,69,4.4,22.1,1,2000
65,64,Knile Davis,KAN,22,RB,16,1,70,242,4,10,20,3.5,15.1,3,2013
36,36,Knile Davis,KAN,23,RB,16,1,134,463,6,26,48,3.5,28.9,4,2014
119,117,Knile Davis,KAN,24,RB,14,0,28,72,1,5,10,2.6,5.1,0,2015
137,134,Knile Davis,2TM,25,RB,11,0,18,28,0,0,6,1.6,2.5,0,2016
9,10,Knowshon Moreno,DEN,22,RB,16,9,247,947,7,53,36,3.8,59.2,4,2009
26,27,Knowshon Moreno,DEN,23,RB,13,13,182,779,5,35,35,4.3,59.9,3,2010
98,96,Knowshon Moreno,DEN,24,RB,7,2,37,179,0,5,24,4.8,25.6,1,2011
30,30,Knowshon Moreno,DEN,25,RB,8,6,138,525,4,32,20,3.8,65.6,1,2012
12,13,Knowshon Moreno,DEN,26,RB,16,15,241,1038,10,56,31,4.3,64.9,1,2013
113,111,Knowshon Moreno,MIA,27,RB,3,0,31,148,1,8,15,4.8,49.3,0,2014
87,86,Kolby Smith,KAN,24,RB,7,3,35,100,1,5,19,2.9,14.3,0,2008
143,140,Kolby Smith,KAN,25,RB,4,0,15,33,0,1,12,2.2,8.3,0,2009
312,303,Kory Sheets,MIA,24,RB,2,0,1,5,0,1,5,5,2.5,0,2009
297,289,Kregg Lumpkin,GNB,24,RB,2,0,1,19,0,1,19,19,9.5,0,2008
296,288,Kregg Lumpkin,TAM,26,RB,11,0,1,0,0,0,0,0,0,0,2010
103,101,Kregg Lumpkin,TAM,27,RB,16,0,31,105,0,5,19,3.4,6.6,0,2011
167,163,Kregg Lumpkin,NYG,28,RB,5,0,9,42,0,2,22,4.7,8.4,1,2012
92,90,Kyle Eckel,NWE,26,RB,12,0,33,90,2,5,14,2.7,7.5,0,2007
108,106,Kyle Eckel,PHI,27,RB,5,0,24,79,0,6,14,3.3,15.8,0,2008
260,253,Kyle Eckel,NOR,28,RB,7,2,2,6,0,1,7,3,0.9,0,2009
251,244,Kyle Juszczyk,BAL,24,RB,16,11,2,3,0,0,2,1.5,0.2,0,2015
200,195,Kyle Juszczyk*,BAL,25,RB,16,7,5,22,1,3,10,4.4,1.4,0,2016
172,168,Kylin Hill,GNB,23,RB,8,0,10,24,0,1,8,2.4,3,0,2021
353,343,Kylin Hill,GNB,24,RB,2,0,1,7,0,1,7,7,3.5,0,2022
104,102,Kyren Williams,LAR,22,RB,10,0,35,139,0,6,17,4,13.9,0,2022
76,75,La'Mical Perine,NYJ,22,RB,10,0,64,232,2,18,20,3.6,23.2,0,2020
197,192,La'Mical Perine,NYJ,23,RB,4,0,8,31,0,1,14,3.9,7.8,0,2021
71,70,LaBrandon Toefield,JAX,23,RB,16,0,53,212,2,11,30,4,13.3,0,2003
79,78,LaBrandon Toefield,JAX,24,RB,14,0,51,169,0,7,16,3.3,12.1,1,2004
88,87,LaBrandon Toefield,JAX,25,RB,9,2,36,142,4,9,32,3.9,15.8,0,2005
154,150,LaBrandon Toefield,JAX,26,RB,4,0,10,22,0,1,12,2.2,5.5,0,2006
148,145,LaBrandon Toefield,JAX,27,RB,2,1,13,27,1,2,7,2.1,13.5,0,2007
2,3,LaDainian Tomlinson,SDG,22,RB,16,16,339,1236,10,68,54,3.6,77.3,8,2001
10,11,LaDainian Tomlinson,SDG,24,RB,16,16,313,1645,13,83,73,5.3,102.8,2,2003
5,6,LaDainian Tomlinson,SDG,29,RB,16,16,292,1110,11,52,45,3.8,69.4,1,2008
15,16,LaDainian Tomlinson,SDG,30,RB,14,14,223,730,12,40,36,3.3,52.1,2,2009
17,18,LaDainian Tomlinson,NYJ,31,RB,15,13,219,914,6,43,31,4.2,60.9,4,2010
68,67,LaDainian Tomlinson,NYJ,32,RB,14,1,75,280,1,15,20,3.7,20,0,2011
1,2,LaDainian Tomlinson*,SDG,23,RB,16,16,372,1683,14,96,76,4.5,105.2,3,2002
4,5,LaDainian Tomlinson*,SDG,26,RB,16,16,339,1462,18,72,62,4.3,91.4,3,2005
5,6,LaDainian Tomlinson*+,SDG,25,RB,15,15,339,1335,17,74,42,3.9,89,6,2004
1,2,LaDainian Tomlinson*+,SDG,27,RB,16,16,348,1815,28,83,85,5.2,113.4,2,2006
3,4,LaDainian Tomlinson*+,SDG,28,RB,16,16,315,1474,15,75,49,4.7,92.1,0,2007
116,114,LaMichael James,SFO,23,RB,4,0,27,125,0,10,26,4.6,31.3,1,2012
145,142,LaMichael James,SFO,24,RB,10,0,12,59,0,2,21,4.9,5.9,2,2013
207,202,LaMichael James,2TM,25,RB,3,0,5,9,0,0,5,1.8,3,0,2014
87,86,LaMont Jordan,NYJ,23,RB,16,0,39,292,1,14,46,7.5,18.3,0,2001
50,50,LaMont Jordan,NYJ,24,RB,14,0,84,316,3,17,61,3.8,22.6,4,2002
76,75,LaMont Jordan,NYJ,25,RB,16,0,46,190,4,14,39,4.1,11.9,0,2003
48,48,LaMont Jordan,NYJ,26,RB,16,0,93,479,2,27,33,5.2,29.9,1,2004
12,13,LaMont Jordan,OAK,27,RB,14,14,272,1025,9,62,26,3.8,73.2,2,2005
46,46,LaMont Jordan,OAK,28,RB,9,8,114,434,2,18,59,3.8,48.2,1,2006
37,37,LaMont Jordan,OAK,29,RB,12,7,144,549,3,25,33,3.8,45.8,0,2007
54,54,LaMont Jordan,NWE,30,RB,8,0,80,363,4,20,49,4.5,45.4,1,2008
111,109,LaMont Jordan,DEN,31,RB,9,0,25,86,0,4,13,3.4,9.6,0,2009
193,188,LaRod Stephens-Howling,ARI,22,RB,16,2,6,15,0,0,5,2.5,0.9,1,2009
119,117,LaRod Stephens-Howling,ARI,23,RB,13,2,23,113,1,5,30,4.9,8.7,0,2010
92,90,LaRod Stephens-Howling,ARI,24,RB,14,1,43,167,0,5,39,3.9,11.9,0,2011
40,40,LaRod Stephens-Howling,ARI,25,RB,14,5,110,356,4,15,52,3.2,25.4,0,2012
183,179,LaRod Stephens-Howling,PIT,26,RB,1,0,6,19,0,0,5,3.2,19,0,2013
